Type;Time [ms];CPU usage [%];GC activity [%];Size [B];Used [B];Total loaded;Shared loaded;Live;Daemon
Cached Threads;21:24:44.311, 30 de jun. de 2023;0,2;0,0;951.582.720;520.102.016;4.207;0;680;677
Cached Threads;21:24:45.311, 30 de jun. de 2023;0,2;0,0;951.582.720;522.351.000;4.207;0;680;677
Cached Threads;21:24:46.311, 30 de jun. de 2023;0,2;0,0;951.582.720;524.599.984;4.207;0;680;677
Cached Threads;21:24:47.311, 30 de jun. de 2023;0,2;0,0;951.582.720;526.848.968;4.207;0;680;677
Cached Threads;21:24:48.311, 30 de jun. de 2023;0,2;0,0;951.582.720;529.097.928;4.207;0;680;677
Cached Threads;21:24:49.312, 30 de jun. de 2023;0,2;0,0;951.582.720;531.346.896;4.207;0;680;677
Cached Threads;21:24:50.312, 30 de jun. de 2023;0,2;0,0;951.582.720;531.346.896;4.207;0;680;677
Cached Threads;21:24:51.312, 30 de jun. de 2023;0,3;0,0;951.582.720;533.595.920;4.207;0;680;677
Cached Threads;21:24:52.312, 30 de jun. de 2023;0,2;0,0;951.582.720;537.481.312;4.207;0;680;677
Cached Threads;21:24:53.312, 30 de jun. de 2023;0,1;0,0;951.582.720;539.730.296;4.207;0;680;677
Cached Threads;21:24:54.312, 30 de jun. de 2023;0,3;0,0;951.582.720;541.979.280;4.207;0;680;677
Cached Threads;21:24:55.313, 30 de jun. de 2023;0,2;0,0;951.582.720;544.228.264;4.207;0;680;677
Cached Threads;21:24:56.313, 30 de jun. de 2023;0,3;0,0;951.582.720;546.477.248;4.207;0;680;677
Cached Threads;21:24:57.313, 30 de jun. de 2023;0,2;0,0;951.582.720;548.726.232;4.207;0;680;677
Cached Threads;21:24:58.313, 30 de jun. de 2023;0,2;0,0;951.582.720;550.975.200;4.207;0;680;677
Cached Threads;21:24:59.313, 30 de jun. de 2023;0,1;0,0;951.582.720;553.224.160;4.207;0;680;677
Cached Threads;21:25:00.313, 30 de jun. de 2023;0,3;0,0;951.582.720;553.224.160;4.207;0;680;677
Cached Threads;21:25:01.313, 30 de jun. de 2023;0,2;0,0;951.582.720;555.473.208;4.207;0;680;677
Cached Threads;21:25:02.314, 30 de jun. de 2023;0,2;0,0;951.582.720;557.722.192;4.207;0;680;677
Cached Threads;21:25:03.314, 30 de jun. de 2023;0,2;0,0;951.582.720;559.971.176;4.207;0;680;677
Cached Threads;21:25:04.314, 30 de jun. de 2023;0,2;0,0;951.582.720;562.220.144;4.207;0;680;677
Cached Threads;21:25:05.314, 30 de jun. de 2023;0,3;0,0;951.582.720;564.469.112;4.207;0;680;677
Cached Threads;21:25:06.314, 30 de jun. de 2023;0,2;0,0;951.582.720;566.718.096;4.207;0;680;677
Cached Threads;21:25:07.314, 30 de jun. de 2023;0,2;0,0;951.582.720;568.967.080;4.207;0;680;677
Cached Threads;21:25:08.314, 30 de jun. de 2023;0,2;0,0;951.582.720;571.216.048;4.207;0;680;677
Cached Threads;21:25:09.315, 30 de jun. de 2023;0,2;0,0;951.582.720;571.216.048;4.207;0;680;677
Cached Threads;21:25:10.315, 30 de jun. de 2023;0,2;0,0;951.582.720;575.101.896;4.207;0;680;677
Cached Threads;21:25:11.315, 30 de jun. de 2023;0,2;0,0;951.582.720;577.350.864;4.207;0;680;677
Cached Threads;21:25:12.315, 30 de jun. de 2023;0,2;0,0;951.582.720;579.599.832;4.207;0;680;677
Cached Threads;21:25:13.315, 30 de jun. de 2023;0,2;0,0;951.582.720;581.848.816;4.207;0;680;677
Cached Threads;21:25:14.315, 30 de jun. de 2023;0,2;0,0;951.582.720;584.097.800;4.207;0;680;677
Cached Threads;21:25:15.315, 30 de jun. de 2023;0,2;0,0;951.582.720;586.346.792;4.207;0;680;677
Cached Threads;21:25:16.316, 30 de jun. de 2023;0,2;0,0;951.582.720;588.595.784;4.207;0;680;677
Cached Threads;21:25:17.316, 30 de jun. de 2023;0,3;0,0;951.582.720;590.844.744;4.207;0;680;677
Cached Threads;21:25:18.316, 30 de jun. de 2023;0,2;0,0;951.582.720;593.093.712;4.207;0;680;677
Cached Threads;21:25:19.316, 30 de jun. de 2023;0,1;0,0;951.582.720;593.093.712;4.207;0;680;677
Cached Threads;21:25:20.316, 30 de jun. de 2023;0,3;0,0;951.582.720;595.343.696;4.207;0;680;677
Cached Threads;21:25:21.316, 30 de jun. de 2023;0,3;0,0;951.582.720;597.592.744;4.207;0;680;677
Cached Threads;21:25:22.317, 30 de jun. de 2023;0,1;0,0;951.582.720;599.841.728;4.207;0;680;677
Cached Threads;21:25:23.317, 30 de jun. de 2023;0,2;0,0;951.582.720;602.090.712;4.207;0;680;677
Cached Threads;21:25:24.317, 30 de jun. de 2023;0,3;0,0;951.582.720;604.339.704;4.207;0;680;677
Cached Threads;21:25:25.317, 30 de jun. de 2023;0,2;0,0;951.582.720;606.588.688;4.207;0;680;677
Cached Threads;21:25:26.317, 30 de jun. de 2023;0,2;0,0;951.582.720;608.837.664;4.207;0;680;677
Cached Threads;21:25:27.317, 30 de jun. de 2023;0,2;0,0;951.582.720;611.086.656;4.207;0;680;677
Cached Threads;21:25:28.317, 30 de jun. de 2023;0,2;0,0;951.582.720;613.346.880;4.207;0;680;677
Cached Threads;21:25:29.317, 30 de jun. de 2023;0,5;0,0;951.582.720;614.984.272;4.207;0;566;563
Cached Threads;21:25:30.318, 30 de jun. de 2023;0,2;0,0;951.582.720;617.233.264;4.207;0;566;563
Cached Threads;21:25:31.318, 30 de jun. de 2023;0,2;0,0;951.582.720;619.482.224;4.207;0;566;563
Cached Threads;21:25:32.318, 30 de jun. de 2023;0,2;0,0;951.582.720;621.732.592;4.207;0;566;563
Cached Threads;21:25:33.318, 30 de jun. de 2023;0,1;0,0;951.582.720;621.732.592;4.207;0;566;563
Cached Threads;21:25:34.318, 30 de jun. de 2023;0,2;0,0;951.582.720;623.981.560;4.207;0;566;563
Cached Threads;21:25:35.318, 30 de jun. de 2023;0,3;0,0;951.582.720;626.230.544;4.207;0;566;563
Cached Threads;21:25:36.318, 30 de jun. de 2023;0,1;0,0;951.582.720;628.479.528;4.207;0;566;563
Cached Threads;21:25:37.318, 30 de jun. de 2023;0,3;0,0;951.582.720;628.493.608;4.207;0;552;549
Cached Threads;21:25:38.319, 30 de jun. de 2023;0,1;0,0;951.582.720;630.742.624;4.207;0;532;529
Cached Threads;21:25:39.319, 30 de jun. de 2023;0,9;0,0;951.582.720;630.827.104;4.207;0;19;16
Cached Threads;21:25:40.319, 30 de jun. de 2023;0,0;0,0;951.582.720;630.827.104;4.207;0;19;16
Cached Threads;21:25:41.319, 30 de jun. de 2023;0,2;0,0;951.582.720;633.076.088;4.207;0;19;16
Cached Threads;21:25:42.320, 30 de jun. de 2023;0,0;0,0;951.582.720;633.076.088;4.207;0;19;16
Cached Threads;21:25:43.320, 30 de jun. de 2023;0,0;0,0;951.582.720;633.076.088;4.207;0;19;16
Cached Threads;21:25:44.320, 30 de jun. de 2023;0,1;0,0;951.582.720;633.076.088;4.207;0;19;16
