tipo;qual execução;hora;cpu;dado1;reservada;utilizada;total loaded;Shared loaded;threads;daemon
Virtual Threads;VT5;21:14:33.123, 30 de jun. de 2023;0,2;0;2452619264;1446708216;4167;0;26;23
Virtual Threads;VT5;21:14:34.123, 30 de jun. de 2023;0;0;2452619264;1447134872;4167;0;26;23
Virtual Threads;VT5;21:14:35.123, 30 de jun. de 2023;0;0;2452619264;1447134872;4167;0;26;23
Virtual Threads;VT5;21:14:36.123, 30 de jun. de 2023;0,1;0;2452619264;1447627688;4167;0;26;23
Virtual Threads;VT5;21:14:37.123, 30 de jun. de 2023;0,1;0;2452619264;1448053360;4167;0;26;23
Virtual Threads;VT5;21:14:38.124, 30 de jun. de 2023;0;0;2452619264;1448053360;4167;0;26;23
Virtual Threads;VT5;21:14:39.124, 30 de jun. de 2023;0;0;2452619264;1448479016;4167;0;26;23
Virtual Threads;VT5;21:14:40.124, 30 de jun. de 2023;0,1;0;2452619264;1448905672;4167;0;25;22
Virtual Threads;VT5;21:14:41.124, 30 de jun. de 2023;0,1;0;2452619264;1448905672;4167;0;25;22
Virtual Threads;VT5;21:14:42.125, 30 de jun. de 2023;0;0;2452619264;1449332008;4167;0;25;22
Virtual Threads;VT5;21:14:43.125, 30 de jun. de 2023;0,2;0;2452619264;1449397504;4167;0;25;22
Virtual Threads;VT5;21:14:44.125, 30 de jun. de 2023;0;0;2452619264;1449824160;4167;0;25;22
Virtual Threads;VT5;21:14:45.125, 30 de jun. de 2023;0,1;0;2452619264;1450251200;4167;0;25;22
Virtual Threads;VT5;21:14:46.125, 30 de jun. de 2023;0,1;0;2452619264;1450251200;4167;0;25;22
Virtual Threads;VT5;21:14:47.125, 30 de jun. de 2023;0,1;0;2452619264;1450677856;4167;0;25;22
Virtual Threads;VT5;21:14:48.126, 30 de jun. de 2023;0;0;2452619264;1451103528;4167;0;25;22
Virtual Threads;VT6;21:14:49.126, 30 de jun. de 2023;0;0;2452619264;1451103528;4167;0;25;22
Virtual Threads;VT6;21:14:50.126, 30 de jun. de 2023;13,6;0;2452619264;1508116864;4167;0;27;24
